Reporting Period,Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Georeference
6/30/21,305,01001-00048,Williamson,Wayne,NY,14589,Non-Residential,Residential/Small Commercial,PON 1184,,,8/3/03,6/23/05,Complete,"Solar Works, Inc.",Fronius USA,IG 2500-LV,1,BP Solar,BP3125S,16,,,2,,,No,No,No,POINT (-77.175308 43.241518)
6/30/21,2011-188607-SLPR,,Syosset,Nassau,NY,11791,Residential,Residential/Small Commercial,SLPR 2010 Residential,Long Island Power Authority,Purchase,9/4/09,9/4/09,Complete,,,,0,,,0,,756,0.22,258,,No,No,No,POINT (-73.502403 40.818622)
6/30/21,2011-157262-SLPR,,Bellport,Suffolk,NY,11713,Residential,Residential/Small Commercial,SLPR 2010 Residential,Long Island Power Authority,Purchase,12/5/06,12/5/06,Complete,,,,0,,,0,1412,1360,0.34,399,,No,No,No,POINT (-72.944839 40.777628)
6/30/21,256419,,Queens,Queens,NY,11420,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,7/31/20,,Pipeline,,,,0,,,0,32428,1474,7.37,9654,,No,No,No,POINT (-73.815675 40.673382)
6/30/21,2014-655036-Sola,,Babylon,Suffolk,NY,11702,Residential,Residential/Small Commercial,Solar Pioneer,Long Island Power Authority,Purchase,5/25/14,10/22/15,Complete,LEVEL SOLAR,SolarEdge,,1,Yingli Ene,,16,20400,1865.44,4,4695,,No,No,No,POINT (-73.380416 40.653301)
6/30/21,310687,,Oakland Gardens,Queens,NY,11364,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,6/1/21,,Pipeline,,Delta Electronics,M8-TL-US [240V],1,JA Solar,JAM60S17-325/MR,30,18337,1950,9.75,10508,,No,No,No,POINT (-73.760292 40.746405)
6/30/21,2014-648451-Sola,,Centereach,Suffolk,NY,11720,Residential,Residential/Small Commercial,Solar Pioneer,Long Island Power Authority,Purchase,4/22/14,2/13/15,Complete,SUNPOWER REBATE PROGRAM,SMA Americ,,1,SunPower,,30,30000,2090.18,7.5,8804,,No,No,No,POINT (-73.081448 40.871411)
6/30/21,2011-157191-SLPR,,Water Mill,Suffolk,NY,11976,Residential,Residential/Small Commercial,SLPR 2010 Residential,Long Island Power Authority,Purchase,5/11/06,5/11/06,Complete,,,,0,,,0,10000,2240,0.56,657,,No,No,No,POINT (-72.34152 40.925685)
6/30/21,2013-636596-Sola,,Farmingdale,Suffolk,NY,11735,Residential,Residential/Small Commercial,Solar Pioneer Leasing,Long Island Power Authority,Lease,12/23/13,7/29/14,Complete,VIVINT SOLAR,Enphase En,,21,Trina Sola,,21,30767,2287.8,5.15,6039,,No,No,No,POINT (-73.436991 40.727443)
6/30/21,296355,,White Plains,Westchester,NY,10605,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,3/19/21,,Pipeline,,SunPower,SPR-A400-BLK-G-AC [240V],29,Sunpower,SPR-A400-BLK-G-AC,29,42963,2320,11.6,11791,,No,No,No,POINT (-73.747232 41.008997)
6/30/21,306001,,Lagrangeville,Dutchess,NY,12540,Residential,Residential/Small Commercial,PON 2112,Central Hudson Gas and Electric,Purchase,5/3/21,,Pipeline,,SunPower,SPR-A410-G-AC [240V],27,Sunpower,SPR-A410-G-AC,27,58614.1,2325,11.07,8001,,No,No,No,POINT (-73.741004 41.661444)
6/30/21,289323,,East Setauket,Suffolk,NY,11733,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/30/21,,Pipeline,,,,0,,,0,,2500,0,0,,No,No,No,POINT (-73.105 40.93232)
6/30/21,309301,,Buffalo,Erie,NY,14222,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,6/30/21,,Pipeline,,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Silfab Solar Inc.,SIL-360NX,20,20880,2520,7.2,14073,,No,No,No,POINT (-78.876675 42.917964)
6/30/21,2011-159175-SLPR,,Massapequa,Nassau,NY,11758,Residential,Residential/Small Commercial,SLPR 2010 Residential,Long Island Power Authority,Purchase,10/19/09,10/19/09,Complete,,,,0,,,0,31221,2520,0.72,845,,No,No,No,POINT (-73.460296 40.682417)
6/30/21,298900,,Shoreham,Suffolk,NY,11786,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,3/26/21,,Pipeline,,,,0,,,0,,2525,0,0,,No,No,No,POINT (-72.891282 40.945452)
6/30/21,2014-661001-Sola,,Medford,Suffolk,NY,11763,Residential,Residential/Small Commercial,Solar Pioneer Leasing,Long Island Power Authority,Lease,6/30/14,3/19/15,Complete,VIVINT SOLAR,Enphase En,,26,Trina Sola,,26,34807,2668.84,6.63,7783,,No,No,No,POINT (-72.982416 40.822436)
6/30/21,2014-652786-Sola,,Bay Shore,Suffolk,NY,11706,Residential,Residential/Small Commercial,Solar Pioneer Leasing,Long Island Power Authority,Lease,5/14/14,3/2/15,Complete,VIVINT SOLAR,Enphase En,,23,Trina Sola,,23,33547,2677.82,5.87,6885,,No,No,No,POINT (-73.255404 40.729218)
6/30/21,2014-654886-Sola,,Shoreham,Suffolk,NY,11786,Residential,Residential/Small Commercial,Solar Pioneer,Long Island Power Authority,Purchase,5/22/14,1/9/15,Complete,HARVEST POWER,SolarEdge,,1,Renesola A,,29,27050,2764.82,7.25,8510,,No,No,No,POINT (-72.891282 40.945452)
6/30/21,2014-658774-Sola,,Lindenhurst,Suffolk,NY,11757,Residential,Residential/Small Commercial,Solar Pioneer Leasing,Long Island Power Authority,Lease,6/17/14,10/15/14,Complete,VIVINT SOLAR,Enphase En,,35,Trina Sola,,35,46856,3032.88,8.75,10271,,No,No,No,POINT (-73.374734 40.690158)
6/30/21,2013-530545-Sola,,New Hyde Park,Nassau,NY,11040,Residential,Residential/Small Commercial,Solar Pioneer,Long Island Power Authority,Purchase,2/27/13,5/23/13,Complete,EMPIRE CLEAN ENERGY SUPPLY,Enphase En,,8,LG Electro,,8,8320,3120,2.08,2442,,No,No,No,POINT (-73.680183 40.744867)
6/30/21,2014-662897-Sola,,Commack,Suffolk,NY,11725,Residential,Residential/Small Commercial,Solar Pioneer Leasing,Long Island Power Authority,Lease,7/15/14,3/12/15,Complete,VIVINT SOLAR,Enphase En,,31,Trina Sola,,31,41501,3162.37,7.91,9279,,No,No,No,POINT (-73.280971 40.839488)
6/30/21,272453,,North Bellmore,Suffolk,NY,11710,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/27/20,4/28/21,Complete,Hytech Solar Inc,,,0,,,0,,3375,0,0,,No,No,No,POINT (-73.534468 40.677262)
6/30/21,2014-639870-Sola,,Farmingdale,Suffolk,NY,11735,Residential,Residential/Small Commercial,Solar Pioneer Leasing,Long Island Power Authority,Lease,1/27/14,1/14/15,Complete,"SUNRUN, INC",PV Powered,,2,Canadian S,,27,19500,3386.73,6.89,8088,,No,No,No,POINT (-73.436991 40.727443)
6/30/21,2014-655816-Sola,,Deer Park,Suffolk,NY,11729,Residential,Residential/Small Commercial,Solar Pioneer Leasing,Long Island Power Authority,Lease,6/5/14,4/3/15,Complete,VIVINT SOLAR,Enphase En,,27,Yingli Ene,,27,36146,3401.67,6.89,8082,,No,No,No,POINT (-73.326213 40.761014)
6/30/21,2014-646250-Sola,,West Babylon,Suffolk,NY,11704,Residential,Residential/Small Commercial,Solar Pioneer Leasing,Long Island Power Authority,Lease,4/4/14,3/2/15,Complete,VIVINT SOLAR,Enphase En,,26,Trina Sola,,26,37923,3419.23,6.63,7783,,No,No,No,POINT (-73.35823 40.718568)
6/30/21,2013-540917-Sola,,Miller Place,Suffolk,NY,11764,Residential,Residential/Small Commercial,Solar Pioneer,Long Island Power Authority,Purchase,9/27/13,2/28/14,Complete,JOYCE MILILLO,Enphase En,,26,Sun Edison,,26,29282,3445.22,6.89,8088,,No,No,No,POINT (-72.987121 40.942532)
6/30/21,299857,,Buffalo,Erie,NY,14221,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,4/28/21,,Pipeline,,SunPower,SPR-X22-360-E-AC [240V],29,Sunpower,SPR-X22-360-E-AC,29,29754,3654,10.44,9406,,No,No,No,POINT (-78.728009 42.980424)
6/30/21,2013-539964-Sola,,Levittown,Nassau,NY,11756,Residential,Residential/Small Commercial,Solar Pioneer Leasing,Long Island Power Authority,Lease,8/30/13,7/17/15,Complete,GS DIRECT LLC,SolarEdge,,2,Yingli Ene,,30,36750,3713.86,7.35,8628,,No,No,No,POINT (-73.517198 40.725845)
6/30/21,273923,,Kings Point,Nassau,NY,11024,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/3/20,,Pipeline,,,,0,,,0,,3800,0,0,,No,No,No,POINT (-73.74068 40.815449)
6/30/21,2014-655212-Sola,,Manorville,Suffolk,NY,11949,Residential,Residential/Small Commercial,Solar Pioneer,Long Island Power Authority,Purchase,5/28/14,11/25/14,Complete,SUNPOWER CAPITAL LLC,SMA America,,2,SunPower,,26,43812,4177.59,8.71,10224,,No,No,No,POINT (-72.789301 40.85473)
6/30/21,265632,,Washingtonville,Orange,NY,10992,Residential,Residential/Small Commercial,PON 2112,Orange and Rockland Utilities,Lease,9/29/20,,Pipeline,,SunPower,SPR-E20-327-E-AC [240V],37,Sunpower,SPR-E20-327-E-AC,37,47744.59,4235,12.1,10541,,No,No,No,POINT (-74.164684 41.425505)
6/30/21,307668,,Pulaski,Oswego,NY,13142,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,5/27/21,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],34,REC Solar,REC360AA Black,34,54054.6,4284,12.24,10104,,No,No,No,POINT (-76.134908 43.555712)
6/30/21,289521,,Chappaqua,Westchester,NY,10514,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,3/1/21,,Pipeline,,Enphase Energy Inc.,IQ7AS-66-ACM-US-x [240V],56,Sunpower,SPR-A400-G-AC,56,70450.62,4480,22.4,24397,,No,No,No,POINT (-73.771922 41.171866)
6/30/21,299414,,Woodbourne,Sullivan,NY,12788,Residential,Residential/Small Commercial,PON 2112,NYS Electric and Gas,Purchase,6/9/21,,Pipeline,,SMA America,SB7.7-1SP-US-41 [240V],2,LG Electronics Inc.,LG435N2T-E6,30,38863.3,4568,13.05,13506,,No,No,No,POINT (-74.592338 41.794722)
6/30/21,296215,,Avon,New York,NY,14414,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,3/26/21,,Pipeline,,Altenergy Power System Inc.,QS1 [240V],10,Silfab Solar Inc.,SIL-360BK,37,27600,4662,13.32,15935,,No,No,No,POINT (-77.727866 42.89327)
6/30/21,274502,,Syosset,Nassau,NY,11791,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/7/20,,Pipeline,,,,0,,,0,,6250,0,0,,No,No,No,POINT (-73.502403 40.818622)
6/30/21,2011-156366-SLPR,,Holbrook,Suffolk,NY,11741,Residential,Residential/Small Commercial,SLPR 2010 Residential,Long Island Power Authority,Purchase,10/9/02,10/9/02,Complete,,,,0,,,0,74800,57600,9.6,11269,,No,No,No,POINT (-73.072068 40.797268)
6/30/21,2012-457076-SLPR,,Central Islip,Suffolk,NY,11722,Residential,Residential/Small Commercial,SLPR ENTRPNR 2010 NFP,Long Island Power Authority,Purchase,2/7/12,3/31/11,Complete,,,,1,SCHUCO,,78,114816,64850,17.94,21059,,No,No,No,POINT (-73.198651 40.783771)
6/30/21,49816B-1,,Buchanan,Westchester,NY,10511,Non-Residential,Commercial/Industrial (Competitive),PON 2956,Consolidated Edison,Power Purchase Agreement,8/8/17,4/1/16,Complete,"TerraForm Solar XVIII, LLC",,,,,,,551041,76861.26,184.14,216151,,No,No,No,POINT (-73.943803 41.259201)
6/30/21,2011-159977-SLPR,,Eastport,Suffolk,NY,11941,Non-Residential,Residential/Small Commercial,SLPR ENTRPNR 2010 NFP,Long Island Power Authority,Purchase,8/13/10,8/13/10,Complete,,,,0,,,0,238140,105050,34.02,39934,,No,No,No,POINT (-72.718942 40.826186)
6/30/21,2011-159621-SLPR,,Manhasset,Nassau,NY,11030,Non-Residential,Residential/Small Commercial,SLPR ENTRPNR 2010 HOW,Long Island Power Authority,Purchase,11/10/10,11/10/10,Complete,,,,0,,,0,561766,195000,100.04,117431,,No,No,No,POINT (-73.686254 40.793129)
6/30/21,31345-1,,Queens,Queens,NY,11377,Non-Residential,Commercial/Industrial (Competitive),PON 2589B,Consolidated Edison,Purchase,2/22/13,3/12/14,Complete,OnForce Solar,,,,,,,808500,216339,231,222592,,No,No,No,POINT (-73.904361 40.74462)
6/30/21,51005-1,,Rochester,Monroe,NY,14624,Non-Residential,Commercial/Industrial (Competitive),PON 2956,Rochester Gas and Electric,Purchase,10/29/14,2/29/16,Complete,"Solar Liberty Energy Systems, Inc",,,,,,,881941,259111.21,421.8,495126,,No,No,No,POINT (-77.729647 43.128513)
6/30/21,24803A-1,,Queens,Queens,NY,11101,Non-Residential,Commercial/Industrial (Competitive),PON 2156,Consolidated Edison,Power Purchase Agreement,1/12/15,12/31/14,Complete,HPP NY I,,,,,,,811800,346835.96,347.88,457114,,No,No,No,POINT (-73.939547 40.746647)
6/30/21,37879-1,,Rome,Oneida,NY,13440,Non-Residential,Commercial/Industrial (Competitive),PON 2589C,National Grid,Purchase,5/28/14,1/24/17,Complete,"Rome Steel Solar, LLC",,,,,,,6032900,546313.42,2801.16,2699198,,No,No,No,POINT (-75.454665 43.214717)
6/30/21,49806A,,Oppenheim,Fulton,NY,13452,Non-Residential,Commercial/Industrial (Competitive),PON 2956,National Grid,Power Purchase Agreement,6/21/19,10/30/18,Complete,"Oppenheim Solar South, LLC",,,,,,,6000690,686159.05,2310,2711570,,No,No,No,POINT (-74.628407 43.030313)
6/30/21,49761A-1,,Greenwich,Washington,NY,12834,Non-Residential,Commercial/Industrial (Competitive),PON 2956,National Grid,Power Purchase Agreement,4/25/16,4/4/16,Complete,"WGL Energy Systems, Inc.",,,,,,,4701880,1290163.46,2604.62,3057407,,No,No,No,POINT (-73.500001 43.097845)
6/30/21,306478,,Bronx,Bronx,NY,10466,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,5/7/21,,Pipeline,,SunPower,SPR-X22-360-E-AC [240V],12,Sunpower,SPR-X22-360-E-AC,12,30240,864,4.32,5321,,No,No,No,POINT (-73.846822 40.891057)
6/30/21,33494A-1,,Rome,Oneida,NY,13440,Non-Residential,Commercial/Industrial (Competitive),PON 2589B,National Grid,Power Purchase Agreement,3/31/15,12/23/15,Complete,Nextera Energy Capital Holdings Inc,,,,,,,6500000,2154721.47,2593.35,2498952,,No,No,No,POINT (-75.454665 43.214717)
6/30/21,305383,,Jamaica,Queens,NY,11434,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,4/28/21,5/18/21,Complete,SunRun Inc.,Delta Electronics,M6-TL-US [240V],1,JA Solar,JAM60S10-340/MR,20,13052,666,6.8,4500,,No,No,No,POINT (-73.775656 40.676003)
6/30/21,306301,,Queens,Queens,NY,11419,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,5/4/21,,Pipeline,,Delta Electronics,M6-TL-US [240V],1,JA Solar,JAM60S10-340/MR,22,14299,942,7.48,6355,,No,No,No,POINT (-73.822985 40.689125)
6/30/21,111074,,Merrick,Nassau,NY,11566,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/29/18,4/11/18,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Silfab,SLA310M,30,32324.6,,9.3,8831,,No,No,Yes,POINT (-73.555545 40.668671)
6/30/21,161995,,Bronx,Bronx,NY,10469,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,12/5/18,1/11/19,Complete,SunPower Capital LLC,SunPower,SPR-E20-327-D-AC [240V],8,Sunpower,SPR-E20-327-D-AC,8,10988.01,785,2.62,3222,,No,No,No,POINT (-73.847397 40.86878)
6/30/21,10583,5194-0294-HA-Financing,Deer Park,Suffolk,NY,11729,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Purchase,8/2/16,3/10/17,Complete,GreenLeaf Solar,SolarEdge Technologies,SE7600 (240V),1,LG Electronics Solar Cell Division,LG320N1K-G4,27,31535,,8.64,9160,No,No,No,Yes,POINT (-73.326213 40.761014)
6/30/21,255814,,East Rockaway,Nassau,NY,11518,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/24/20,10/28/20,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],18,Solaria Corporation,Solaria PowerXT-U-370,18,22118,,6.66,8544,,No,No,Yes,POINT (-73.667444 40.639907)
6/30/21,277805,,Babylon,Suffolk,NY,11702,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/24/20,3/18/21,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],18,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,18,27372.22,,6.84,8661,,No,No,Yes,POINT (-73.380416 40.653301)
6/30/21,184378,,Brooklyn,Kings,NY,11208,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,5/1/19,8/7/19,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [208V],12,LG Electronics Inc.,LG335N1C-A5,12,14833.8,892,4.02,4017,,No,No,No,POINT (-73.872692 40.673742)
6/30/21,256388,,Queens,Queens,NY,11356,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,7/30/20,11/25/20,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,"LONGi Green Energy Technology Co., Ltd.",LR6-60HPH-320M,9,10408.32,576,2.88,3508,,No,No,No,POINT (-73.843534 40.785519)
6/30/21,219206,,Staten Island,Richmond,NY,10309,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,11/1/19,11/26/19,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3000H-US [240V],1,LG Electronics Inc.,LG330N1C-A5,10,15114,614,3.3,2752,,No,No,No,POINT (-74.215396 40.532063)
6/30/21,288510,,Bronx,Bronx,NY,10469,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,1/27/21,,Pipeline,,SolarEdge Technologies Ltd.,SE3000x [240V],1,LG Electronics Inc.,LG360S2W-A5,10,25760,720,3.6,4040,,No,No,No,POINT (-73.847397 40.86878)
6/30/21,34126,5159-66568,Selden,Suffolk,NY,11784,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,6/23/15,12/16/15,Complete,Level Solar,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,Yingli Energy (China),YL255P-29b,16,20808,604,4.08,4740,No,No,No,No,POINT (-73.04142 40.86939)
6/30/21,115847,,Queens,Queens,NY,11434,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,3/27/18,7/20/18,Complete,Venture Home Solar LLC,SunPower,SPR-E20-327-D-AC [208V],9,SunPower,SPR-E20-327-D-AC,9,17098.38,848,2.94,2853,,No,No,No,POINT (-73.775656 40.676003)
6/30/21,44329,4704-91541,Wappingers Falls,Dutchess,NY,12590,Residential,Residential/Small Commercial,PON 2112,Central Hudson Gas and Electric,Power Purchase Agreement,2/26/16,4/14/16,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Hanwha Q-Cells,Q.PRO-G4/SC 260,13,18928,933,3.38,3524,No,No,No,No,POINT (-73.892917 41.589636)
6/30/21,9138,4704-81388,Bay Shore,Suffolk,NY,11706,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,11/18/15,6/19/17,Complete,Tesla Energy Operations Inc.,ABB,PVI-5000-OUTD-US-Z-A (240V),1,Hanwha Q-Cells,Q.PRO-G4/SC 265,24,35616,979,6.36,8313,No,No,No,No,POINT (-73.255404 40.729218)
6/30/21,250300,,Middle Island,Suffolk,NY,11953,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/12/20,10/23/20,Complete,Harvest Power,Enphase Energy Inc.,IQ7-60-x-US-& [240V],15,"S-Energy Co., Ltd.",SN320P-10,15,18720,,4.8,4966,,No,No,Yes,POINT (-72.951129 40.884631)
6/30/21,307024,,Brooklyn,Kings,NY,11210,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,5/8/21,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],10,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,10,12844,760,3.8,4670,,No,No,No,POINT (-73.946445 40.627743)
6/30/21,72183,,Seaford,Nassau,NY,11783,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/24/16,2/6/17,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE 7600A-US (240V),1,SunPower,SPR-X21-345,25,33868,,8.63,9019,,No,No,Yes,POINT (-73.491332 40.67888)
6/30/21,131488,,Brooklyn,Kings,NY,11208,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,7/18/18,8/20/18,Complete,SunRun Inc.,"Ningbo Ginlong Technologies Co.,Ltd.",Solis-1P3K-4G-US [240V],1,REC Solar,REC290TP2 BLK,9,11479,783,2.61,3172,,No,No,No,POINT (-73.872692 40.673742)
6/30/21,37949,4704-73010,Mastic,Suffolk,NY,11950,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,9/14/15,1/12/16,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,Hanwha Q-Cells,Q.PRO-G4/SC 260,19,27664,583,4.94,6157,No,No,No,No,POINT (-72.8486 40.806181)
