Reporting Period,Project Number,Legacy Project Number,City
6/30/21,305,01001-00048,Williamson
6/30/21,2011-188607-SLPR,,Syosset
6/30/21,2011-157262-SLPR,,Bellport
6/30/21,256419,,Queens
6/30/21,2014-655036-Sola,,Babylon
6/30/21,310687,,Oakland Gardens
6/30/21,2014-648451-Sola,,Centereach
6/30/21,2011-157191-SLPR,,Water Mill
6/30/21,2013-636596-Sola,,Farmingdale
6/30/21,296355,,White Plains
6/30/21,306001,,Lagrangeville
6/30/21,289323,,East Setauket
6/30/21,309301,,Buffalo
6/30/21,2011-159175-SLPR,,Massapequa
6/30/21,298900,,Shoreham
6/30/21,2014-661001-Sola,,Medford
6/30/21,2014-652786-Sola,,Bay Shore
6/30/21,2014-654886-Sola,,Shoreham
6/30/21,2014-658774-Sola,,Lindenhurst
6/30/21,2013-530545-Sola,,New Hyde Park
6/30/21,2014-662897-Sola,,Commack
6/30/21,272453,,North Bellmore
6/30/21,2014-639870-Sola,,Farmingdale
6/30/21,2014-655816-Sola,,Deer Park
6/30/21,2014-646250-Sola,,West Babylon
6/30/21,2013-540917-Sola,,Miller Place
6/30/21,299857,,Buffalo
6/30/21,2013-539964-Sola,,Levittown
6/30/21,273923,,Kings Point
6/30/21,2014-655212-Sola,,Manorville
6/30/21,265632,,Washingtonville
6/30/21,307668,,Pulaski
6/30/21,289521,,Chappaqua
6/30/21,299414,,Woodbourne
6/30/21,296215,,Avon
6/30/21,274502,,Syosset
6/30/21,2011-156366-SLPR,,Holbrook
6/30/21,2012-457076-SLPR,,Central Islip
6/30/21,49816B-1,,Buchanan
6/30/21,2011-159977-SLPR,,Eastport
6/30/21,2011-159621-SLPR,,Manhasset
6/30/21,31345-1,,Queens
6/30/21,51005-1,,Rochester
6/30/21,24803A-1,,Queens
6/30/21,37879-1,,Rome
6/30/21,49806A,,Oppenheim
6/30/21,49761A-1,,Greenwich
6/30/21,306478,,Bronx
6/30/21,33494A-1,,Rome
6/30/21,305383,,Jamaica
6/30/21,306301,,Queens
6/30/21,111074,,Merrick
6/30/21,161995,,Bronx
6/30/21,10583,5194-0294-HA-Financing,Deer Park
6/30/21,255814,,East Rockaway
6/30/21,277805,,Babylon
6/30/21,184378,,Brooklyn
6/30/21,256388,,Queens
6/30/21,219206,,Staten Island
6/30/21,288510,,Bronx
6/30/21,34126,5159-66568,Selden
6/30/21,115847,,Queens
6/30/21,44329,4704-91541,Wappingers Falls
6/30/21,9138,4704-81388,Bay Shore
6/30/21,250300,,Middle Island
6/30/21,307024,,Brooklyn
6/30/21,72183,,Seaford
6/30/21,131488,,Brooklyn
6/30/21,37949,4704-73010,Mastic
6/30/21,261055,,Huntington
6/30/21,64382,5142-0206-Financing,Lindenhurst
6/30/21,257420,,Brooklyn
6/30/21,34492,4704-63229,Patchogue
6/30/21,2640,2091-3,Flushing
6/30/21,271298,,Staten Island
6/30/21,2390,17946-46,Rexford
6/30/21,245861,,New York City
6/30/21,10000,4978-91027,Massapequa
6/30/21,255146,,Brooklyn
6/30/21,313273,,Oyster Bay
6/30/21,277595,,Bronx
6/30/21,128948,,Floral Park
6/30/21,47219,4704-81496,North Babylon
6/30/21,33599,5156-61659,Melville
6/30/21,251889,,Queens
6/30/21,282206,,Levittown
6/30/21,277607,,Brooklyn
6/30/21,275684,,KINGS PARK
6/30/21,264595,,Woodhaven
6/30/21,239031,,Northport
6/30/21,191806,,Queens
6/30/21,211073,,Brooklyn
6/30/21,182778,,East Meadow
6/30/21,311271,,Woodhaven
6/30/21,214604,,Bronx
6/30/21,36497,5159-67225,North Bellmore
6/30/21,256155,,Queens
6/30/21,272321,,Staten Island
6/30/21,176945,,Youngstown
6/30/21,239987,,MOUNT VERNON
6/30/21,195362,,Massapequa
6/30/21,36254,5159-66976,Shelter Island
6/30/21,244344,,Staten Island
6/30/21,305184,,Huntington Station
6/30/21,270853,,Bronx
6/30/21,271830,,Lindenhurst
6/30/21,248889,,Medford
6/30/21,51111,5293-97369,Avon
6/30/21,273486,,Ossining
6/30/21,60322,4704-84642,Oceanside
6/30/21,8485,4704-73319,West Hempstead
6/30/21,102276,,ISLIP
6/30/21,38832,5159-70101,West Islip
